,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.3505608081817627,0.10608139038085937,0.7091660923501034,0.7091638786902486,0.1,"(100,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'filter__n': 2}",7,0.684931506849315,0.7144089732528042,0.6872852233676976,0.7,0.7275862068965517,0.710594315245478,0.7068965517241379,0.7045650301464255,0.7395833333333334,0.7162510748065348,0.005191088778595941,0.0017982297495006256,0.021603050263333562,0.00608130898866365
1,0.33541440963745117,0.1067197322845459,0.7091660923501034,0.7122625768544608,0.1,"(100,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'filter__n': 3}",7,0.7157534246575342,0.7057808455565142,0.7044673539518901,0.7155172413793104,0.696551724137931,0.7097329888027563,0.7206896551724138,0.7088716623600344,0.7083333333333334,0.7214101461736887,0.005851079044587861,0.001362647970006879,0.008464076282777084,0.005553032019680992
2,0.3527215957641602,0.10557699203491211,0.6967608545830462,0.6979660253321649,0.1,"(100,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'filter__n': 4}",30,0.702054794520548,0.7083692838654012,0.6219931271477663,0.6775862068965517,0.7172413793103448,0.6976744186046512,0.7068965517241379,0.7054263565891473,0.7361111111111112,0.7007738607050731,0.012944949033625794,0.0017489388410337073,0.03922333921861115,0.010836884275535186
3,0.34964814186096194,0.106135892868042,0.7050310130944176,0.7029639536761748,0.1,"(100,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'filter__n': 5}",19,0.6917808219178082,0.7100949094046591,0.697594501718213,0.7025862068965517,0.7034482758620689,0.694229112833764,0.696551724137931,0.6993970714900948,0.7361111111111112,0.708512467755804,0.01203167033333146,0.0009682454885141712,0.01590667969484871,0.005844644108833075
4,0.35387516021728516,0.10526704788208008,0.6857339765678843,0.6931431892289857,0.1,"(100,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'filter__n': 6}",49,0.6986301369863014,0.7092320966350302,0.6357388316151202,0.6741379310344827,0.6482758620689655,0.6718346253229974,0.7172413793103448,0.7123169681309216,0.7291666666666666,0.6981943250214961,0.01864581651406658,0.0017240665894479807,0.0372559282048649,0.017130414160027092
5,0.361157751083374,0.10543723106384277,0.6974500344589938,0.7022873487763733,0.1,"(100,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'filter__n': 7}",29,0.6815068493150684,0.7135461604831751,0.7010309278350515,0.725,0.7310344827586207,0.6856158484065461,0.6758620689655173,0.7002583979328165,0.6979166666666666,0.6870163370593293,0.0128394160682705,0.0009996009397035507,0.019296076839695628,0.015217652457748802
6,0.32732481956481935,0.10455317497253418,0.6243969676085458,0.6264644067803454,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'filter__n': 2}",69,0.6267123287671232,0.6281276962899051,0.6219931271477663,0.625,0.6206896551724138,0.6261843238587425,0.6206896551724138,0.6253229974160207,0.6319444444444444,0.6276870163370594,0.0038263777137369057,0.0011298753249379108,0.004363266543635039,0.0012479627493673716
7,0.35379505157470703,0.10513477325439453,0.6809097174362508,0.6862494450287209,0.1,"(50,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'filter__n': 3}",53,0.6917808219178082,0.6928386540120793,0.6563573883161512,0.6681034482758621,0.6620689655172414,0.6925064599483204,0.6896551724137931,0.689922480620155,0.7048611111111112,0.6878761822871883,0.00427753688456975,0.0014782256953875777,0.0185681041295392,0.009251838449186757
8,0.36193017959594725,0.10484981536865234,0.6953824948311509,0.697622828995027,0.1,"(50,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'filter__n': 4}",36,0.6643835616438356,0.7057808455565142,0.6666666666666666,0.6870689655172414,0.7034482758620689,0.7097329888027563,0.7068965517241379,0.6864771748492678,0.7361111111111112,0.6990541702493551,0.009958745540429739,0.0017177255857930593,0.0269722263471652,0.009495973706968629
9,0.35447239875793457,0.10608091354370117,0.6960716747070985,0.6986457434567552,0.1,"(50,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'filter__n': 5}",31,0.7054794520547946,0.6971527178602244,0.6769759450171822,0.6818965517241379,0.7206896551724138,0.7062876830318691,0.6655172413793103,0.6890611541774333,0.7118055555555556,0.7188306104901118,0.006933051377020565,0.0012864031743001698,0.0211610157999383,0.012965006736636439
10,0.34886846542358396,0.10513715744018555,0.6774638180565128,0.6986636890300192,0.1,"(50,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'filter__n': 6}",61,0.684931506849315,0.7135461604831751,0.6735395189003437,0.6896551724137931,0.7,0.7123169681309216,0.696551724137931,0.6907838070628768,0.6319444444444444,0.6870163370593293,0.006357848845768087,0.0019954572407766304,0.02449280249175806,0.011720125478263357
