,housing log-likelihood,perm log-likelihood
2,-9.43816942780169,-2.092687198487883
5,2.6728119571668105,0.02943496200518095
10,9.570625295870913,2.9741217812383423
15,13.245994688115536,3.7925114726385507
20,13.901234729152483,5.405407992803712
25,16.00598303061447,5.443072897100832
30,15.780526842060732,6.449455570314414
35,15.287536808831733,6.479432376159791
40,17.557312355004598,8.586102749016122
50,19.121625135329985,8.634436232534918
