iter,time,reward,steps,convergence
1,0.0036827039999991484,-811.87,300.0,89.59
2,0.005346298999999277,-664.21,300.0,80.17999999999999
3,0.006594081999999446,-354.56,300.0,70.30893401
4,0.007851393999999345,-310.27,300.0,60.41030407568146
5,0.01389601800000051,-299.0,300.0,50.512254393414466
6,0.014981427000002157,-299.0,300.0,40.61225440779306
7,0.01604320900000289,-299.0,300.0,30.712254445200983
8,0.017260114000006155,-299.0,300.0,20.81225445003983
9,0.018192109000008116,-299.0,300.0,10.912254635243093
10,0.01929280300000613,-299.0,300.0,1.0122546584919476
11,0.02028434100000709,-299.0,300.0,0.5222546623327219
12,0.021461332000004774,-299.0,300.0,0.03225565573712572
