iter,time,reward,steps,convergence
1,0.0018848409999989713,-601.81,300.0,89.59
2,0.0028655099999994604,-635.15,300.0,80.17999999999999
3,0.0038809869999987257,-436.06,300.0,70.681222241
4,0.005162826999999481,-299.0,300.0,60.784908305243256
5,0.006045117999999405,-301.1,300.0,50.88527862704028
6,0.007066770000001554,-299.0,300.0,40.98529628755831
7,0.008288777000004188,-299.0,300.0,31.085296601612175
8,0.009254074000004664,-299.0,300.0,21.185296749435526
9,0.01018385600000471,-299.0,300.0,11.28529687864739
10,0.011147933000003718,-299.0,300.0,1.3852969519713667
11,0.012152312000004883,-299.0,300.0,0.8953002222949067
12,0.013015121000002239,-299.0,300.0,0.4053027509949345
