,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.03908987045288086,0.000737762451171875,0.627842866988284,0.6278434193499093,0.1,"(100,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'gmm__n_components': 2}",33,0.6267123287671232,0.6281276962899051,0.6254295532646048,0.628448275862069,0.6275862068965518,0.627906976744186,0.6275862068965518,0.627906976744186,0.6319444444444444,0.6268271711092004,0.0016856545561982038,6.54589226625999e-05,0.0021887550862273665,0.0005454364033310899
1,0.051718616485595705,0.0008559703826904296,0.6237077877325982,0.6297350788511992,0.1,"(100,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'gmm__n_components': 5}",104,0.6267123287671232,0.6281276962899051,0.6254295532646048,0.628448275862069,0.6275862068965518,0.627906976744186,0.6275862068965518,0.627906976744186,0.6111111111111112,0.6362854686156492,0.006472006415564175,4.558707877382158e-05,0.006318113417866221,0.003281190677931707
2,0.11075773239135742,0.0010554790496826172,0.6368022053756031,0.6378395623315851,0.1,"(100,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'gmm__n_components': 10}",4,0.6404109589041096,0.6419327006039689,0.6254295532646048,0.628448275862069,0.6586206896551724,0.6640826873385013,0.6275862068965518,0.627906976744186,0.6319444444444444,0.6268271711092004,0.01559233249146051,6.078561045227031e-05,0.012056623539392823,0.01423784161650819
3,0.13261747360229492,0.0012806415557861327,0.6299104066161269,0.6300790169423427,0.1,"(100,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'gmm__n_components': 15}",29,0.6267123287671232,0.6281276962899051,0.6254295532646048,0.628448275862069,0.6275862068965518,0.627906976744186,0.6275862068965518,0.627906976744186,0.6423611111111112,0.6380051590713671,0.019976296198423636,5.081137916198829e-05,0.006246050567575208,0.003968027597026879
4,0.13819069862365724,0.0014441967010498046,0.627842866988284,0.6278434193499093,0.1,"(100,)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'gmm__n_components': 20}",33,0.6267123287671232,0.6281276962899051,0.6254295532646048,0.628448275862069,0.6275862068965518,0.627906976744186,0.6275862068965518,0.627906976744186,0.6319444444444444,0.6268271711092004,0.021946073822617245,2.280986818396218e-05,0.0021887550862273665,0.0005454364033310899
5,0.19893836975097656,0.0016423702239990235,0.6333563059958649,0.6421453216490711,0.1,"(100,)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'gmm__n_components': 25}",8,0.6335616438356164,0.6410698878343399,0.6288659793814433,0.6663793103448276,0.6275862068965518,0.627906976744186,0.6275862068965518,0.627906976744186,0.6493055555555556,0.647463456577816,0.015394346268992238,9.166040645568161e-05,0.008237151949835092,0.014298155520046546
6,0.2226419448852539,0.0020196914672851564,0.627842866988284,0.6278434193499093,0.1,"(100,)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'gmm__n_components': 30}",33,0.6267123287671232,0.6281276962899051,0.6254295532646048,0.628448275862069,0.6275862068965518,0.627906976744186,0.6275862068965518,0.627906976744186,0.6319444444444444,0.6268271711092004,0.02960779554049122,0.0003282278851800993,0.0021887550862273665,0.0005454364033310899
7,0.2833517551422119,0.0019636631011962892,0.6333563059958649,0.6297398238508045,0.1,"(100,)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'gmm__n_components': 35}",8,0.636986301369863,0.6324417601380501,0.6254295532646048,0.628448275862069,0.6275862068965518,0.627906976744186,0.6448275862068965,0.6330749354005168,0.6319444444444444,0.6268271711092004,0.05807263611946306,8.923864414436024e-06,0.006971572853536353,0.002527227709011578
8,0.30819063186645507,0.002389669418334961,0.631288766368022,0.6305955175874122,0.1,"(100,)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'gmm__n_components': 40}",18,0.6267123287671232,0.6289905090595341,0.6254295532646048,0.628448275862069,0.6275862068965518,0.627906976744186,0.6275862068965518,0.627906976744186,0.6493055555555556,0.6397248495270851,0.043327220433901366,0.00024594412874460146,0.009000461917358002,0.0045823117484025035
9,0.3181455135345459,0.002544736862182617,0.631288766368022,0.633693765131191,0.1,"(100,)",50,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'gmm__n_components': 50}",18,0.6095890410958904,0.6212251941328731,0.6254295532646048,0.6275862068965518,0.6517241379310345,0.648578811369509,0.6379310344827587,0.632213608957795,0.6319444444444444,0.6388650042992261,0.04358091679500341,2.0901899971465575e-05,0.01392879285342527,0.00941556911372999
10,0.023522186279296874,0.0006633281707763671,0.627842866988284,0.6278434193499093,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 2}",33,0.6267123287671232,0.6281276962899051,0.6254295532646048,0.628448275862069,0.6275862068965518,0.627906976744186,0.6275862068965518,0.627906976744186,0.6319444444444444,0.6268271711092004,0.0014284005994169237,0.00011868182792100862,0.0021887550862273665,0.0005454364033310899
