,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
15,0.18732151985168458,0.0006031513214111329,0.6099241902136457,0.6054388245704871,0.1,"(50,)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 25}",109,0.6061643835616438,0.6082830025884383,0.5979381443298969,0.6025862068965517,0.6206896551724138,0.615848406546081,0.593103448275862,0.5770887166236004,0.6319444444444444,0.6233877901977644,0.007763989134681703,2.9916886428808264e-05,0.014408737205677704,0.01581442481272944
16,0.20308256149291992,0.0006254673004150391,0.6057891109579601,0.6137008682943994,0.1,"(50,)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 30}",113,0.6061643835616438,0.5936151855047455,0.5360824742268041,0.5862068965517241,0.6206896551724138,0.6373815676141258,0.6517241379310345,0.6313522825150732,0.6145833333333334,0.6199484092863284,0.009726687402711627,2.3971491296969044e-05,0.03815691185927504,0.020350591382171476
17,0.21987791061401368,0.00064544677734375,0.6257753273604411,0.6281906191783335,0.1,"(50,)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 35}",97,0.6267123287671232,0.6281276962899051,0.6185567010309279,0.6353448275862069,0.6241379310344828,0.6270456503014643,0.6275862068965518,0.627906976744186,0.6319444444444444,0.6225279449699054,0.01087266293527219,3.204629522197409e-05,0.0044013944263671615,0.004114460916898352
18,0.2448349952697754,0.0006806373596191407,0.627842866988284,0.6324930927464731,0.1,"(50,)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 40}",70,0.6267123287671232,0.6212251941328731,0.6254295532646048,0.628448275862069,0.6724137931034483,0.6950904392764858,0.5827586206896552,0.5934539190353144,0.6319444444444444,0.6242476354256233,0.015708158984023935,6.969679357390676e-05,0.028426073887473337,0.03362677066229585
19,0.27553648948669435,0.0006604671478271484,0.6333563059958649,0.6414758611100474,0.1,"(50,)",50,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 50}",57,0.6541095890410958,0.6962899050905953,0.6254295532646048,0.628448275862069,0.6275862068965518,0.627906976744186,0.6275862068965518,0.627906976744186,0.6319444444444444,0.6268271711092004,0.013349909672008357,2.508063731368721e-05,0.010629179440404733,0.02741208040081574
20,0.050335359573364255,0.0006343841552734375,0.6188835286009648,0.6230199912706672,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 2}",108,0.6267123287671232,0.6281276962899051,0.6254295532646048,0.628448275862069,0.5827586206896552,0.6037898363479759,0.6275862068965518,0.627906976744186,0.6319444444444444,0.6268271711092004,0.002663031268661651,4.0359526365590414e-05,0.0181864077714099,0.009630483143236626
21,0.08409595489501953,0.0006379127502441406,0.627842866988284,0.6278434193499093,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 5}",70,0.6267123287671232,0.6281276962899051,0.6254295532646048,0.628448275862069,0.6275862068965518,0.627906976744186,0.6275862068965518,0.627906976744186,0.6319444444444444,0.6268271711092004,0.00378332409889016,3.382876514042913e-05,0.0021887550862273665,0.0005454364033310899
22,0.12559080123901367,0.0007092475891113282,0.6560992419021364,0.6535109473430186,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 10}",33,0.6267123287671232,0.6281276962899051,0.6254295532646048,0.628448275862069,0.7068965517241379,0.7011197243755384,0.6896551724137931,0.6830318690783808,0.6319444444444444,0.6268271711092004,0.021803600166246686,0.0001280803957215657,0.034914220401132054,0.03200797188364623
23,0.14295248985290526,0.0007121562957763672,0.6292212267401792,0.6350661192639249,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 15}",65,0.6267123287671232,0.6281276962899051,0.6254295532646048,0.628448275862069,0.6275862068965518,0.627906976744186,0.6275862068965518,0.627906976744186,0.6388888888888888,0.6629406706792778,0.008563161477503169,5.515338593005633e-05,0.004875409163653967,0.01393868591009145
24,0.1635279655456543,0.0006726264953613281,0.6416264645072364,0.6509557876505414,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 20}",49,0.6643835616438356,0.6738567730802416,0.6632302405498282,0.6956896551724138,0.6275862068965518,0.6347975882859603,0.6275862068965518,0.627906976744186,0.625,0.6225279449699054,0.004233315498856716,3.695946326595291e-05,0.018206795845919197,0.028726473391257872
25,0.21019482612609863,0.0007217884063720703,0.6781529979324604,0.6786804524238471,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 25}",11,0.7294520547945206,0.7135461604831751,0.6426116838487973,0.6474137931034483,0.6724137931034483,0.7071490094745909,0.6896551724137931,0.6580534022394487,0.65625,0.6672398968185727,0.013652533035324502,4.869943289332186e-05,0.03018546762579183,0.02668348491466095
26,0.22097043991088866,0.0007272720336914063,0.673328738800827,0.6812921694271405,0.1,"(50, 50)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 30}",15,0.6883561643835616,0.724762726488352,0.6872852233676976,0.7051724137931035,0.7,0.6985357450473729,0.6586206896551724,0.6511627906976745,0.6319444444444444,0.6268271711092004,0.021194503670006273,2.844588443378684e-05,0.024695199399197332,0.0364184343616187
27,0.24425578117370605,0.0007189273834228516,0.6560992419021364,0.6657683779589082,0.1,"(50, 50)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 35}",33,0.6506849315068494,0.6712683347713546,0.6907216494845361,0.696551724137931,0.6793103448275862,0.7062876830318691,0.6275862068965518,0.627906976744186,0.6319444444444444,0.6268271711092004,0.012517612952389748,3.634162401754412e-05,0.02514502000361267,0.03337538405281922
28,0.2611715793609619,0.0007135391235351563,0.6609235010337698,0.6634977782024837,0.1,"(50, 50)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 40}",23,0.6917808219178082,0.636755823986195,0.6494845360824743,0.6862068965517242,0.6931034482758621,0.6890611541774333,0.6275862068965518,0.627906976744186,0.6423611111111112,0.6775580395528805,0.01237370443056979,8.60740602077204e-06,0.026745787069470582,0.025879406718191767
29,0.29646801948547363,0.0007655143737792969,0.6643694004135079,0.6638733204979061,0.1,"(50, 50)",50,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 50}",20,0.6643835616438356,0.6945642795513374,0.6460481099656358,0.6543103448275862,0.6241379310344828,0.6244616709732989,0.7310344827586207,0.7166236003445305,0.65625,0.6294067067927773,0.022538751226756786,2.210097790900142e-05,0.03594619894223683,0.03621381800842535
30,0.04712123870849609,0.0008131980895996094,0.627842866988284,0.6278434193499093,0.01,"(100,)",2,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100,), 'km__n_clusters': 2}",70,0.6267123287671232,0.6281276962899051,0.6254295532646048,0.628448275862069,0.6275862068965518,0.627906976744186,0.6275862068965518,0.627906976744186,0.6319444444444444,0.6268271711092004,0.005444446483532033,0.0002650774346305207,0.0021887550862273665,0.0005454364033310899
