,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.17279839515686035,0.005685329437255859,0.8646084667690282,0.8646084665654693,0.1,"(100,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'km__n_clusters': 2}",49,0.8646158907715085,0.8646047544624497,0.8646158907715085,0.8646047544624497,0.8645936163211583,0.8646158907715085,0.007883047788796026,0.0002559523849963952,1.049998865802711e-05,5.249706435245029e-06
1,0.27413471539815265,0.006084362665812175,0.86471813994297,0.86482781216194,0.1,"(100,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'km__n_clusters': 5}",39,0.8646158907715085,0.8646047544624497,0.8646158907715085,0.8650160401414823,0.8649226719315565,0.8648626418818884,0.017877769139300493,0.0001460474626071104,0.00014461406007142878,0.00016970328908241325
2,0.4553514321645101,0.007142543792724609,0.86471813994297,0.864855231207209,0.1,"(100,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'km__n_clusters': 10}",39,0.8644513900312552,0.8646870115982561,0.8646158907715085,0.8650160401414823,0.8650871997367555,0.8648626418818884,0.05393233780550033,0.0008598796025501925,0.0002694470121320419,0.00013442751240918648
3,0.6851433912913004,0.006210009256998698,0.8641149374862909,0.8649649096435109,0.1,"(100,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'km__n_clusters': 15}",81,0.8629708833689752,0.8645224973266431,0.8649448922520151,0.865591840092128,0.8644290885159592,0.8647803915117618,0.08753877196137297,0.0001351821896749209,0.000835957400910053,0.0004556377897935019
4,0.8798472881317139,0.00650477409362793,0.864389120421145,0.8644439838670289,0.1,"(100,)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'km__n_clusters': 20}",78,0.8652738937325218,0.8642757259192235,0.8641223885507485,0.865591840092128,0.8637709772951628,0.8634643855897352,0.05396516350597981,4.5433598938576087e-05,0.0006418918782193044,0.0008766408301722457
5,1.1331872940063477,0.007028261820475261,0.8640601008993201,0.8638407265322617,0.1,"(100,)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'km__n_clusters': 25}",83,0.8646158907715085,0.8646047544624497,0.8624773811482151,0.8620547832524471,0.8650871997367555,0.8648626418818884,0.12787493104874081,0.0002707785999107012,0.0011356165464311912,0.0012672336089062848
6,1.313778320948283,0.007656415303548177,0.863456898442641,0.8650745587618669,0.1,"(100,)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'km__n_clusters': 30}",105,0.8646158907715085,0.8646047544624497,0.8644513900312552,0.8648515258698692,0.8613030602171767,0.8657673959532818,0.05145634622930586,0.0007903475886243244,0.001524348490100647,0.0005001610155644613
7,1.5472585360209148,0.007876714070638021,0.8619214740074578,0.8626070228505741,0.1,"(100,)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'km__n_clusters': 35}",120,0.8669189011350551,0.865427325820515,0.8606678730054286,0.8631241260179321,0.8581770319183942,0.8592696167132752,0.24583307326813614,0.00022407679674929255,0.003677252502265251,0.0025403270296840016
8,2.1507509549458823,0.008140007654825846,0.8648826497038824,0.8647181495122244,0.1,"(100,)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'km__n_clusters': 40}",17,0.8651093929922684,0.8647692687340627,0.8646158907715085,0.8650160401414823,0.8649226719315565,0.8643691396611285,0.5171174588336857,0.0001474699806513659,0.0002034544759414243,0.0002665582350400374
9,3.1125474770863852,0.010509173075358072,0.8639504277253783,0.8649923264335532,0.1,"(100,)",50,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'km__n_clusters': 50}",91,0.8646158907715085,0.8646047544624497,0.8646158907715085,0.8655095829563214,0.8626192826587693,0.8648626418818884,0.673745346555741,0.0006241092981204445,0.0009411842810346579,0.0003806067200632125
10,0.1576556364695231,0.003043572107950846,0.8646084667690282,0.8646084665654693,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 2}",49,0.8646158907715085,0.8646047544624497,0.8646158907715085,0.8646047544624497,0.8645936163211583,0.8646158907715085,0.005218646497476191,5.705143991031887e-05,1.049998865802711e-05,5.249706435245029e-06
11,0.2611080010732015,0.003715991973876953,0.8646084667690282,0.8645536329853849,0.1,"(50,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 5}",49,0.8646158907715085,0.8646047544624497,0.8646158907715085,0.8646047544624497,0.8645936163211583,0.8644513900312552,0.021141844692608523,0.0006090083280014618,1.049998865802711e-05,7.229668619363888e-05
12,0.42203911145528156,0.0037369728088378906,0.8647729765299408,0.864855231207209,0.1,"(50,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 10}",27,0.8646158907715085,0.8646047544624497,0.8646158907715085,0.8650982972772888,0.8650871997367555,0.8648626418818884,0.02418072324965895,0.0001565832358614577,0.0002221710844361306,0.00020155613956454336
