,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.24110035896301268,0.0049382209777832035,0.8644987935950866,0.8649511783553961,0.1,"(100,)","{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,)}",3,0.8673245614035088,0.8637921579380312,0.8634868421052632,0.8651631477927063,0.8645462023581025,0.864898210980876,0.8631752125034274,0.8656522037151279,0.863960504662644,0.8652501713502398,0.03284412774813977,0.0007754517807260456,0.0014869205469904196,0.0006279965412227207
1,0.16930503845214845,0.0023733139038085937,0.8635117350296118,0.8638819049392301,0.1,"(50,)","{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,)}",12,0.8656798245614035,0.8648889498217713,0.8654057017543859,0.8646147518508362,0.8645462023581025,0.8627047775721434,0.8571428571428571,0.8632531359243265,0.8647833241908941,0.8639479095270733,0.03651944322753296,5.982180137894174e-05,0.0032104950471224906,0.0008168892102809165
2,0.33156795501708985,0.004207897186279297,0.8645536301820574,0.8650882895562239,0.1,"(50, 50)","{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50)}",2,0.8654057017543859,0.8648889498217713,0.8648574561403509,0.864957499314505,0.8637236084452975,0.8653094797450134,0.8639978064162325,0.8657207485091507,0.8647833241908941,0.8645647703906786,0.054180954275676194,0.00016038929413798517,0.0006114047885364463,0.0003949288949944673
3,0.24768896102905275,0.004791259765625,0.8644439570081158,0.8650745589847663,0.01,"(100,)","{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100,)}",4,0.8673245614035088,0.863860707430765,0.8634868421052632,0.8651631477927063,0.8645462023581025,0.8647611213928302,0.8626268165615575,0.8662691068613338,0.8642347778387274,0.865318711446196,0.04581790687642869,0.0006493877877480849,0.001585685029585473,0.0007830813176058281
4,0.17181215286254883,0.0023638248443603516,0.8635665716165826,0.8639093256759371,0.01,"(50,)","{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,)}",9,0.8656798245614035,0.864957499314505,0.8654057017543859,0.8646833013435701,0.8645462023581025,0.8627047775721434,0.8574170551137922,0.8633216807183495,0.8647833241908941,0.8638793694311172,0.035662624502701294,0.0001096130914827105,0.003101743449242775,0.0008360462209485365
5,0.3590538024902344,0.004282522201538086,0.86471813994297,0.8650745768384505,0.01,"(50, 50)","{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50)}",1,0.865953947368421,0.8646147518508362,0.8645833333333334,0.864957499314505,0.8645462023581025,0.865515114127082,0.8637236084452975,0.8657207485091507,0.8647833241908941,0.8645647703906786,0.06827327683432763,0.00022710089409303224,0.0007167396950937101,0.00046832888245927954
6,0.2497781753540039,0.005053853988647461,0.864389120421145,0.8650745589847663,0.001,"(100,)","{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100,)}",5,0.8673245614035088,0.863860707430765,0.8634868421052632,0.8651631477927063,0.8645462023581025,0.8647611213928302,0.8623526185906224,0.8662691068613338,0.8642347778387274,0.865318711446196,0.04188155979626554,0.0008728386970135242,0.0016509747432753598,0.0007830813176058281
7,0.169504976272583,0.0024393558502197265,0.8635665716165826,0.8638956176567459,0.001,"(50,)","{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,)}",9,0.8656798245614035,0.864957499314505,0.8654057017543859,0.8646833013435701,0.8642720043871676,0.8627047775721434,0.8574170551137922,0.8633216807183495,0.8650575973669775,0.8638108293351611,0.03457459295930655,0.00016511539914516895,0.0031107707428687315,0.0008369863823747027
8,0.335355281829834,0.004380369186401367,0.8642246106602325,0.8651019966355442,0.001,"(50, 50)","{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50)}",7,0.8656798245614035,0.8646147518508362,0.8629385964912281,0.8650945982999726,0.8642720043871676,0.8654465693330592,0.8634494104743625,0.8657892933031737,0.8647833241908941,0.8645647703906786,0.05697615455391495,0.00035409676941084475,0.0009682472536338974,0.0004726904498663089
9,0.24709649085998536,0.005065774917602539,0.864389120421145,0.8650882679435709,0.0001,"(100,)","{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (100,)}",5,0.8673245614035088,0.863860707430765,0.8634868421052632,0.8651631477927063,0.8645462023581025,0.8647611213928302,0.8623526185906224,0.8663376516553568,0.8642347778387274,0.865318711446196,0.04492493142620505,0.00032970683159639453,0.0016509747432753598,0.0008041890993101437
10,0.17240395545959472,0.002330112457275391,0.8635665716165826,0.8638956176567459,0.0001,"(50,)","{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50,)}",9,0.8656798245614035,0.864957499314505,0.8654057017543859,0.8646833013435701,0.8642720043871676,0.8627047775721434,0.8574170551137922,0.8633216807183495,0.8650575973669775,0.8638108293351611,0.036333849149179434,5.4523863484392264e-05,0.0031107707428687315,0.0008369863823747027
11,0.33861331939697265,0.004137611389160157,0.8640601008993201,0.8649923259048495,0.0001,"(50, 50)","{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50, 50)}",8,0.8654057017543859,0.8647518508363038,0.8626644736842105,0.8650260488072389,0.8642720043871676,0.8654465693330592,0.8631752125034274,0.8651723901569676,0.8647833241908941,0.8645647703906786,0.05591895117716212,3.351612371054073e-05,0.001010940787127357,0.00031000949578943965
