iter,time,reward,steps,convergence
1,0.0008145740000031765,-245.74,200.0,91.88442558
2,0.0010437390000035407,-188.96,180.5,84.59247966461962
3,0.0011997800000003167,-235.46,200.0,75.39833745042068
4,0.001969510999998647,-244.94,197.68,69.60653632842067
5,0.0023490079999959335,-201.9,200.0,62.887491363124944
6,0.0031542899999976726,-260.48,200.0,53.45470513513858
7,0.003851143999995088,-780.74,200.0,46.317084135138586
8,0.004446564999994962,-236.7,200.0,37.46255477555514
9,0.004716664999989462,-199.56,198.52,30.70276976109394
10,0.005467647999992664,-172.64,177.64,21.10671013466652
11,0.006210817999992457,-239.44,197.5,19.903395003474788
12,0.0069384389999953555,-208.98,189.6,17.730064072102248
13,0.007482138999996835,-268.68,191.3,19.79124342618118
14,0.007607614000001206,-211.92,197.86,16.528806240928628
15,0.007835825000000796,-158.76,176.14,14.523853070345044
16,0.00796611200000541,-128.72,150.2,15.04422156620808
17,0.008118340000002888,-38.28,89.06,15.023941962550733
18,0.008294976000001952,-3.46,69.92,14.81297718268566
19,0.008552497000003711,-163.7,177.76,12.326215255148304
20,0.00877288500000617,-157.14,162.86,14.755664179235794
21,0.009141724000002682,-181.46,189.86,14.232771563905043
22,0.009533982999997193,-196.4,199.52,14.517054546168088
23,0.010275485999997613,-914.64,190.58,17.981607120403364
24,0.010601981999997179,-185.24,184.06,19.302319362400432
25,0.011049266999997087,-113.96,133.42,18.70896303172689
26,0.011191224999997473,-85.56,102.62,18.13448076385021
27,0.011657315999997309,-215.48,189.5,17.25496023369544
28,0.01189428699999695,-173.56,173.84,17.59744778804698
29,0.012515930999995817,-77.68,111.14,22.279021202889744
30,0.012646718999995699,-8.72,71.0,23.379952624759916
31,0.012733308999997917,6.2,56.94,23.1232089642887
32,0.012810905999998567,36.36,28.52,22.965603613438837
33,0.012929491999997822,-64.6,110.52,17.97795933100757
34,0.01310726799999884,15.62,42.2,16.461270673437205
35,0.013697413999999242,-20.42,76.22,18.82382865101521
36,0.013841675999998415,-100.96,134.14,19.791925889040783
37,0.014248895999998012,-162.72,165.7,19.467619042496047
38,0.014396983999994006,-86.58,111.06,19.64995822856207
39,0.014727910999994265,-171.14,175.88,17.40128263434649
40,0.014801366999989796,-78.88,116.76,18.156961446179565
41,0.014920860999993124,-13.48,67.74,18.996678665872555
42,0.015041342999992935,-17.28,72.38,20.289218027626326
43,0.015465394999992554,19.72,43.42,21.0096535214317
44,0.015587537999991241,-21.68,68.34,22.130820627715185
45,0.015667738999994185,-11.86,67.04,21.628768798260655
46,0.015803929999997024,34.3,25.36,20.844705578640042
47,0.015873553999995238,17.38,45.18,19.89480428708605
48,0.01595466199999862,34.54,27.44,19.581018261958487
49,0.016039816999999346,-9.96,71.38,21.887097119753413
50,0.016132074000005048,34.86,25.96,18.063844721851183
51,0.016232381000001794,-3.68,61.32,17.93345078566461
52,0.01639020799999713,-39.82,43.74,17.35607729164135
53,0.01652534499999092,-235.9,85.76,16.70461156879947
54,0.016670110999989163,16.12,46.44,20.04494996660636
55,0.01691876099998524,-4.48,55.68,19.15669684814771
56,0.017105846999982077,-79.78,95.72,23.149562788432284
57,0.017238385999981176,17.68,41.66,25.49427397188856
58,0.01732863099998383,18.9,34.22,25.659932762431424
59,0.01741367999998289,27.7,32.18,23.4378067290391
60,0.01750495599998203,9.72,50.24,24.32038252344963
61,0.017586949999987667,12.66,44.9,24.960157787814204
62,0.01766366699998656,19.0,40.48,25.97564140187655
63,0.017755294999986404,-27.44,82.2,27.561864063650365
64,0.01786110299998711,12.86,42.28,23.034264197826037
65,0.017941782999983502,8.8,43.06,22.71083857347503
66,0.018116142999986096,-8.1,69.32,18.71609623860586
67,0.018206419999991397,19.46,43.68,19.443007441524813
68,0.018343308999995145,-10.34,58.04,20.885610393651895
69,0.018433074999997245,-101.38,140.1,18.547143768099286
70,0.018561859999998376,-34.32,64.84,19.295684716638945
71,0.018672399999992706,-165.38,152.4,20.28807439465294
72,0.018910990999991384,-145.86,145.74,20.921415305462148
73,0.019238794999992592,-11.68,42.22,22.612277436909828
74,0.01930137899999096,-33.08,60.86,23.022377762235795
75,0.019397332999993466,-16.42,47.52,26.38086351347075
76,0.019485115999991365,-40.5,70.74,27.08528631554402
77,0.01957087399998869,0.38,29.6,28.74061100116611
78,0.01962965499998859,-142.24,163.82,29.401230329763507
79,0.01985065699999211,-69.12,95.82,30.047627907266435
80,0.020177306999990208,9.14,56.32,34.25015181296722
81,0.02028551899999087,18.92,52.34,32.33823890530517
82,0.020411700999993343,-23.62,51.96,30.63711712043088
83,0.020505880999991177,-24.94,61.76,29.074432121695384
84,0.02058079499998655,-13.54,43.66,29.159574450435468
85,0.020649858999981063,-41.98,121.04,25.88435574031492
86,0.020843930999987492,-149.5,173.06,27.54878120513767
87,0.02095048999998994,-1.78,30.56,23.043942407210483
88,0.021068473999989124,-2.84,30.96,24.762001524786278
89,0.02114099399998537,-50.68,77.24,26.283935938206128
90,0.021360937999986618,-35.16,75.7,20.439857724804448
91,0.021445544999984634,-0.32,31.88,19.636042644506013
92,0.021525706999980798,-63.62,89.98,21.695596632244033
93,0.02178486999997631,6.84,82.02,19.882696713166485
94,0.021918390999971393,21.02,68.3,20.628853990418396
95,0.02210468899996698,-37.4,119.88,22.298199376724796
96,0.0222711419999726,-189.5,159.52,22.017025313328723
97,0.02247871299996973,0.36,78.9,23.540200414720797
98,0.02255010299996485,-42.88,109.08,20.411711649144593
99,0.022827716999962888,-46.3,106.6,19.687231195902882
100,0.023025047999958304,19.02,65.7,23.552476559482233
101,0.023240086999955167,-83.08,128.68,27.889535606344857
102,0.023372303999956046,-94.2,124.0,25.692645960317197
103,0.02348437099995948,-42.68,76.76,26.28360618206679
104,0.02355009099995442,-200.04,164.74,29.7146700325276
105,0.02367678799995332,-50.82,127.32,29.258406458266307
106,0.02388055799995925,-167.06,184.18,28.543932377226668
107,0.024146498999961352,-171.96,185.46,30.617391304697474
108,0.02432848099996221,-24.4,85.12,35.539078760114734
109,0.024391572999959976,-26.94,110.6,35.900750356283964
110,0.024462481999961483,30.22,34.96,34.03638393198737
111,0.02480881999996143,-164.44,177.66,32.782009259856764
112,0.02497161099996248,-123.06,124.64,33.61940014380243
113,0.025564963999961776,-252.16,179.96,35.13308174431562
114,0.026281928999964066,-77.66,118.74,32.431034275463965
115,0.02638553499996732,-58.4,127.18,32.187684762072344
116,0.026693134999966617,-34.54,110.14,33.84890628936328
117,0.026838961999970934,-172.06,183.5,31.947489145612177
118,0.02715191399997252,-77.02,112.4,27.416350143414753
119,0.027220808999970814,-0.6,49.16,25.49090209832004
120,0.027281183999967595,33.88,30.42,23.46381418065847
121,0.0273604749999663,16.42,42.12,24.894507933010498
122,0.027423240999965515,-212.86,179.16,25.71837058932952
123,0.02750699499996756,-123.82,161.52,23.90434121432019
124,0.02779998999996991,-1.3,70.1,24.16822425006085
125,0.02795315499997031,9.6,84.58,22.952719177810636
126,0.028080814999967174,19.9,42.66,23.62893857580242
127,0.0281363589999728,38.74,28.46,22.790237842215895
128,0.02820389299997572,32.08,27.0,20.88430932867888
129,0.028269020999971417,19.28,56.62,23.783280018101056
130,0.02846967699997549,19.04,42.94,24.606374986014522
131,0.02856035599997142,-56.06,105.9,22.01087089113789
132,0.02864693599997281,21.52,40.46,19.862877249316078
133,0.02874731099996808,3.62,54.3,19.380787935492844
134,0.02881227699996458,16.14,43.06,21.152745109837916
135,0.028875617999965186,-39.78,50.54,22.73696909831684
136,0.028956517999958464,32.24,28.58,21.364118547007543
137,0.029039586999957123,-43.28,91.5,22.07462953173274
138,0.02911898999995799,21.08,44.96,24.408722810816315
139,0.02919299799995656,14.24,47.16,22.665892243550193
140,0.0292481569999552,13.56,47.84,23.203838892921556
141,0.029349347999954034,33.46,25.62,23.925692713004402
142,0.02941293299995351,39.28,27.34,23.886062895209744
143,0.029469007999956887,19.86,39.8,23.789342753056513
144,0.029534243999954413,-68.16,91.02,24.83713514876397
145,0.029857601999950134,-3.4,63.44,27.1082591806181
146,0.03015379399995055,-4.24,65.94,25.952010496428095
147,0.03023407599994954,14.16,46.08,24.12519150133581
148,0.030303442999951358,33.24,31.06,21.723274611779658
149,0.030382479999950363,-18.9,73.06,20.225241837301365
150,0.030451282999948148,-6.14,69.58,18.545298482130473
151,0.030544419999948502,37.28,28.18,17.86387812897292
152,0.03061122599995514,-10.02,80.48,17.970516583388207
153,0.0307934009999542,-48.92,101.76,20.01516022317346
154,0.030886163999959138,13.92,45.74,17.083295816452395
155,0.030949747999962085,-6.14,75.34,12.477190329466897
156,0.031038226999960727,7.5,60.28,17.572916326829368
157,0.03116283699996103,-43.92,103.82,20.073961710154514
158,0.03162756499996533,-92.66,112.1,23.400006425231453
159,0.0319086409999656,-177.06,154.44,26.1107841909262
160,0.03202272399996531,-106.56,100.9,27.30267782228907
161,0.03212180399996356,23.3,43.18,25.44884584361514
162,0.03225774499996703,31.06,31.26,29.53752276044467
163,0.03234145599996907,4.12,57.36,29.38288409193663
164,0.032568136999969965,-109.72,126.96,29.27497222366328
165,0.032828734999974074,-179.42,176.88,33.896451456423456
166,0.03304765899997619,-168.7,156.28,28.330752219022337
167,0.03332374999997256,-230.6,197.66,26.407813130817658
168,0.03375537299996978,-183.22,184.64,25.889492445482954
169,0.03386339499996893,-225.62,188.82,27.3986951654441
170,0.03408134899996895,-101.72,125.1,28.545729657842138
171,0.034647237999969605,-90.56,122.68,33.06631636743628
172,0.03488258999996674,-114.18,147.98,32.90002408144058
173,0.03527786699996227,-34.06,68.56,35.09784935894553
174,0.03556298899996335,-3.58,46.52,33.18512343826402
175,0.0356342509999692,-20.24,53.66,31.168906329050646
176,0.035750622999970005,-155.56,134.34,32.59816436309256
177,0.03583720699997173,-32.2,93.82,32.557578786259214
178,0.036033588999970334,-56.08,78.94,30.797259184464718
179,0.03613481899997595,-13.94,46.28,27.132868859235554
180,0.03631999799997487,-70.94,102.68,26.026890924274205
181,0.03639150499997612,-69.14,102.5,22.750223120053867
