iter,time,reward,steps,convergence
1,0.005390585999999864,-249.08,193.74,91.1
2,0.006971870999999297,-235.44,195.04,81.49
3,0.009014271999999934,-208.9,198.86,71.86078513116193
4,0.010161036999999595,-211.52,199.14,62.058804131161935
5,0.011597096999999223,-198.54,197.08,54.1423534940116
6,0.012008829999999193,-156.72,160.36,45.8623534940116
7,0.013663137999999186,-158.78,168.84,37.7475479205763
8,0.014841046999999108,-184.84,190.98,27.90066115008176
9,0.01592276999999953,-196.3,195.24,18.009957463783316
10,0.017030236999999282,-200.74,200.0,8.154490986768042
11,0.018040011999999273,-200.74,200.0,6.160906622325351
12,0.018993139999999187,-199.32,198.68,5.875302003990997
13,0.02005877399999889,-201.96,199.76,5.608240714706438
14,0.0213126809999995,-201.32,200.0,5.513373226009044
15,0.022623499999999908,-202.66,200.0,3.5324890080634033
16,0.023839277000000436,-203.34,198.12,1.9181634681901187
17,0.025203478999999973,-200.74,200.0,0.16482285292055962
