iter,time,reward,steps,convergence
1,0.0006702339999975493,-266.14,198.16,91.71000000000001
2,0.0013963209999978687,-252.68,196.26,84.4813671744196
3,0.0017264789999984487,-185.16,188.64,87.7738740744196
4,0.0024856179999979133,-181.84,187.26,77.89715289751864
5,0.00329987499999973,-121.86,134.04,76.56635918930763
6,0.004187029000000564,-203.3,199.0,66.6663594220959
7,0.004936892000003468,-185.28,188.12,57.001817191925554
8,0.005656081000005031,-201.9,200.0,49.73271771422726
9,0.006389125000005436,-227.1,198.22,42.2159118572985
10,0.0071104620000070895,-230.32,200.0,35.14467019643637
11,0.007881007000005269,-231.78,199.42,32.560530570780045
12,0.00895841300000555,-389.9,199.78,29.891467555714474
13,0.009793356000002973,-208.28,200.0,19.557847918476014
14,0.010556923000002882,-202.48,200.0,19.55728695616841
15,0.011300676000004728,-204.22,200.0,10.990555532245155
16,0.012040195000004417,-208.86,200.0,10.99055977508833
17,0.013065749000002569,-201.32,200.0,10.755123739676538
18,0.013927934000005138,-206.54,200.0,8.12422547174633
19,0.01478761500000303,-224.56,197.78,10.628453757613466
20,0.01557918600000363,-228.58,200.0,8.359746489752796
21,0.016500760000003112,-219.88,200.0,10.902808690994139
22,0.01737500700000183,-223.36,200.0,13.234402939747804
23,0.01827005300000195,-200.86,196.98,12.7374144853739
24,0.019124557000001374,-206.54,200.0,12.738315619876175
25,0.02018074800000136,-201.9,200.0,20.37100355799443
26,0.0211087840000026,-200.74,200.0,20.607994474622927
27,0.021964428000000424,-205.38,200.0,20.61034269412781
28,0.022930302999998986,-199.34,199.74,20.610364139295548
29,0.023726366000001775,-201.9,200.0,15.722941713753482
30,0.024496051000003405,-200.74,200.0,17.775216278525555
31,0.025258408000006227,-201.32,200.0,17.816259983719835
32,0.026023001000005763,-200.74,200.0,19.883448715004914
33,0.026834220000004905,-201.54,199.22,17.52344865500187
34,0.027656569000004794,-202.56,198.62,17.520798149980052
35,0.028883643000007453,-198.36,197.32,12.234656858456054
36,0.029834599000007955,-208.5,188.18,16.20156328220734
37,0.030575265000010177,-222.2,200.0,16.56956741197331
38,0.031287987000009565,-216.58,197.56,18.878108364572263
39,0.03204353000000992,-202.48,200.0,21.459917956300092
40,0.032950966000008464,-205.06,198.62,21.457200921878332
41,0.03366391100000854,-226.84,200.0,21.22198485191271
42,0.034617782000008646,-222.62,197.8,19.193419569535717
43,0.03550315100000745,-202.08,196.96,19.42877609506661
44,0.03622083800000908,-202.02,197.5,21.759180157865018
45,0.036947159000011,-202.64,198.22,19.47517749730286
46,0.03766315300001111,-204.22,200.0,15.271297885915482
47,0.03855321700000758,-198.78,197.56,15.110431099684765
48,0.03871685200000741,-205.82,198.0,12.822817168230412
49,0.03943447300000713,-203.64,200.0,10.241007575801568
50,0.04027459400000666,-199.1,194.64,7.63139897420825
51,0.04102393900000578,-199.36,197.16,5.4938573284456425
52,0.042165984000007484,-204.66,198.8,3.122064471449528
53,0.04323364000000751,-195.16,196.14,2.8848301667592056
54,0.044169939000006764,-197.68,193.42,0.5336671218019546
55,0.04500961200000475,-214.4,194.82,3.0832783583144403
56,0.04543430600000775,-216.1,195.98,5.6935157479575285
57,0.046759091000005526,-237.34,195.68,10.444958652006175
58,0.047084774000005325,-194.04,174.46,22.783599820557445
59,0.047541832000003836,-151.92,141.8,31.976659647203938
60,0.048399710000005314,-164.74,169.66,37.617683587865976
