iter,time,reward,steps,convergence
1,0.0013441869999999412,-382.54,190.46,89.415839
2,0.0026208399999996246,-204.44,183.62,79.80550241761743
3,0.004229454999999938,-221.4,199.16,69.96788685288948
4,0.005123307999999938,-204.12,199.78,60.157886852889476
5,0.006018343000000037,-217.34,189.38,52.25788685288946
6,0.006955271999999901,-206.9,200.0,42.44672408978946
7,0.007854274999999689,-200.52,200.0,32.63848667827776
8,0.008985814999999953,-203.02,200.0,22.766125444256307
9,0.009989262000000387,-202.66,200.0,12.88962210692703
10,0.010966880000000678,-202.08,200.0,3.009522902904199
11,0.011881438000000522,-200.92,200.0,2.710529825794869
12,0.012939258000000287,-202.08,200.0,2.43510318577365
13,0.013948619000000662,-200.16,200.0,2.3847343769601808
14,0.015021142000001042,-204.22,200.0,2.304858350453981
15,0.015952972000000898,-201.32,200.0,0.3133770955098697
