,housing log-likelihood,perm log-likelihood
2,-4.966862136802079,-6.216916955537927
5,-1.1075511530467403,-5.535101792622597
10,-0.6388916621599285,-2.432042876295562
15,0.7352901573102175,-0.6619552132087492
20,1.1045780401655874,-0.5618864495081353
25,2.283165349488919,0.08548429253273356
30,1.770203666037954,0.41504089246931575
35,3.9719722455687574,0.4477747601324376
40,4.038429806301881,0.6164528563602435
50,4.332343408050692,0.8685787744651207
60,5.076333231480728,1.38775220083812
70,5.904067424085058,1.4044425548919899
