,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.35048580169677734,0.10547900199890137,0.7091660923501034,0.7091638786902486,0.1,"(100,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'filter__n': 2}",15,0.684931506849315,0.7144089732528042,0.6872852233676976,0.7,0.7275862068965517,0.710594315245478,0.7068965517241379,0.7045650301464255,0.7395833333333334,0.7162510748065348,0.007397942021275663,0.0009955067317744988,0.021603050263333562,0.00608130898866365
1,0.3372965812683105,0.10485982894897461,0.7091660923501034,0.7122625768544608,0.1,"(100,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'filter__n': 3}",15,0.7157534246575342,0.7057808455565142,0.7044673539518901,0.7155172413793104,0.696551724137931,0.7097329888027563,0.7206896551724138,0.7088716623600344,0.7083333333333334,0.7214101461736887,0.0058721092600746,0.0009350671748146988,0.008464076282777084,0.005553032019680992
2,0.3518831253051758,0.10585789680480957,0.6967608545830462,0.6979660253321649,0.1,"(100,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'filter__n': 4}",62,0.702054794520548,0.7083692838654012,0.6219931271477663,0.6775862068965517,0.7172413793103448,0.6976744186046512,0.7068965517241379,0.7054263565891473,0.7361111111111112,0.7007738607050731,0.017046822453149566,0.0004965775709402607,0.03922333921861115,0.010836884275535186
3,0.35039820671081545,0.10579328536987305,0.7050310130944176,0.7029639536761748,0.1,"(100,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'filter__n': 5}",43,0.6917808219178082,0.7100949094046591,0.697594501718213,0.7025862068965517,0.7034482758620689,0.694229112833764,0.696551724137931,0.6993970714900948,0.7361111111111112,0.708512467755804,0.008987578265926078,0.0009472291042574626,0.01590667969484871,0.005844644108833075
4,0.3532266616821289,0.10649104118347168,0.6857339765678843,0.6931431892289857,0.1,"(100,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'filter__n': 6}",100,0.6986301369863014,0.7092320966350302,0.6357388316151202,0.6741379310344827,0.6482758620689655,0.6718346253229974,0.7172413793103448,0.7123169681309216,0.7291666666666666,0.6981943250214961,0.011820126164997566,0.001278080871852,0.0372559282048649,0.017130414160027092
5,0.35778422355651857,0.1045313835144043,0.6974500344589938,0.7022873487763733,0.1,"(100,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'filter__n': 7}",61,0.6815068493150684,0.7135461604831751,0.7010309278350515,0.725,0.7310344827586207,0.6856158484065461,0.6758620689655173,0.7002583979328165,0.6979166666666666,0.6870163370593293,0.013890750742174305,0.002195900537094013,0.019296076839695628,0.015217652457748802
6,0.35213565826416016,0.10642733573913574,0.7084769124741558,0.7084762944050351,0.1,"(100,)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'filter__n': 8}",28,0.7123287671232876,0.7100949094046591,0.6769759450171822,0.7017241379310345,0.7137931034482758,0.7157622739018088,0.7275862068965517,0.7062876830318691,0.7118055555555556,0.708512467755804,0.012061323820537385,0.0013380296603611752,0.016817413779703777,0.004606264366009846
7,0.3568714618682861,0.10688238143920899,0.6933149552033081,0.7062444084094585,0.1,"(100,)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'filter__n': 9}",80,0.6712328767123288,0.7144089732528042,0.6941580756013745,0.7094827586206897,0.6862068965517242,0.7011197243755384,0.7310344827586207,0.7114556416881999,0.6840277777777778,0.6947549441100602,0.006178722566722541,0.0008046244704028579,0.02024462991151919,0.007246711803182209
8,0.366170072555542,0.10451650619506836,0.6912474155754652,0.713481927895804,0.1,"(100,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'filter__n': 10}",89,0.6986301369863014,0.731665228645384,0.6563573883161512,0.6801724137931034,0.7310344827586207,0.7321274763135228,0.7413793103448276,0.7329888027562446,0.6284722222222222,0.6904557179707652,0.015503089728665107,0.001061208235794417,0.04308075521315412,0.023231604085977454
9,0.3490294456481934,0.1054842472076416,0.70434183321847,0.7114080686022699,0.1,"(100,)",11,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'filter__n': 11}",47,0.708904109589041,0.7109577221742882,0.6804123711340206,0.7120689655172414,0.696551724137931,0.7088716623600344,0.7,0.7200689061154177,0.7361111111111112,0.705073086844368,0.005846937130352014,0.001808689735606036,0.018309884267642285,0.0049439873293762576
10,0.37218561172485354,0.10612020492553711,0.7257064093728464,0.7308699202688206,0.1,"(100,)",12,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'filter__n': 12}",3,0.7123287671232876,0.7213114754098361,0.711340206185567,0.7327586206896551,0.7241379310344828,0.7381567614125754,0.7379310344827587,0.7243755383290267,0.7430555555555556,0.7377472055030094,0.008719584761064325,0.0010023241332687545,0.012942457547432545,0.006892070229307566
