,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_ica__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.027273797988891603,0.0005271434783935547,0.6457615437629222,0.6538636456708573,0.1,"(100,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'ica__n_components': 2}",4,0.6267123287671232,0.6281276962899051,0.6597938144329897,0.6758620689655173,0.6827586206896552,0.710594315245478,0.6275862068965518,0.627906976744186,0.6319444444444444,0.6268271711092004,0.0005849480307068912,5.7933261803712975e-05,0.02213590424091077,0.03396868618850812
1,0.03820710182189942,0.0005357742309570312,0.627842866988284,0.6278434193499093,0.1,"(100,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'ica__n_components': 3}",13,0.6267123287671232,0.6281276962899051,0.6254295532646048,0.628448275862069,0.6275862068965518,0.627906976744186,0.6275862068965518,0.627906976744186,0.6319444444444444,0.6268271711092004,0.013445199623723137,3.8857810816654205e-05,0.0021887550862273665,0.0005454364033310899
2,0.019818782806396484,0.0005483627319335938,0.627842866988284,0.6278434193499093,0.1,"(100,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'ica__n_components': 4}",13,0.6267123287671232,0.6281276962899051,0.6254295532646048,0.628448275862069,0.6275862068965518,0.627906976744186,0.6275862068965518,0.627906976744186,0.6319444444444444,0.6268271711092004,0.001666936507986311,3.696610680131572e-05,0.0021887550862273665,0.0005454364033310899
3,0.022552871704101564,0.0007191658020019531,0.627842866988284,0.6278434193499093,0.1,"(100,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'ica__n_components': 5}",13,0.6267123287671232,0.6281276962899051,0.6254295532646048,0.628448275862069,0.6275862068965518,0.627906976744186,0.6275862068965518,0.627906976744186,0.6319444444444444,0.6268271711092004,0.002107272494872832,0.0001879389766147613,0.0021887550862273665,0.0005454364033310899
4,0.02192401885986328,0.0005763530731201172,0.07856650585802895,0.07856628228733997,0.1,"(100,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'ica__n_components': 6}",113,0.07876712328767123,0.07851596203623813,0.07903780068728522,0.07844827586206897,0.07931034482758621,0.07838070628768304,0.07931034482758621,0.07838070628768304,0.0763888888888889,0.07910576096302666,0.0018721907361018144,3.682825482977642e-05,0.0011022817113632546,0.0002743617279775702
5,0.03221750259399414,0.0005994319915771484,0.627842866988284,0.6278434193499093,0.1,"(100,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'ica__n_components': 7}",13,0.6267123287671232,0.6281276962899051,0.6254295532646048,0.628448275862069,0.6275862068965518,0.627906976744186,0.6275862068965518,0.627906976744186,0.6319444444444444,0.6268271711092004,0.0027927577087925163,9.836624721316404e-05,0.0021887550862273665,0.0005454364033310899
6,0.023441362380981445,0.0005827903747558594,0.627842866988284,0.6278434193499093,0.1,"(100,)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'ica__n_components': 8}",13,0.6267123287671232,0.6281276962899051,0.6254295532646048,0.628448275862069,0.6275862068965518,0.627906976744186,0.6275862068965518,0.627906976744186,0.6319444444444444,0.6268271711092004,0.0018720401977786098,4.846096766061831e-05,0.0021887550862273665,0.0005454364033310899
7,0.03938207626342773,0.000661468505859375,0.631288766368022,0.6361222540726892,0.1,"(100,)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'ica__n_components': 9}",8,0.6541095890410958,0.636755823986195,0.6288659793814433,0.6698275862068965,0.6275862068965518,0.627906976744186,0.6137931034482759,0.6192937123169682,0.6319444444444444,0.6268271711092004,0.0016461518801773895,2.0272926793735742e-05,0.013037788961551592,0.01774001122670971
8,0.062486886978149414,0.0007693767547607422,0.6175051688490696,0.6221586648279456,0.1,"(100,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'ica__n_components': 10}",105,0.6267123287671232,0.6281276962899051,0.6254295532646048,0.628448275862069,0.6275862068965518,0.627906976744186,0.5758620689655173,0.599483204134367,0.6319444444444444,0.6268271711092004,0.02099271872038965,0.00014519883297058614,0.020926961546232935,0.011350798227481324
9,0.03920459747314453,0.0006992816925048828,0.627842866988284,0.6278434193499093,0.1,"(100,)",11,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'ica__n_components': 11}",13,0.6267123287671232,0.6281276962899051,0.6254295532646048,0.628448275862069,0.6275862068965518,0.627906976744186,0.6275862068965518,0.627906976744186,0.6319444444444444,0.6268271711092004,0.0025674137342042306,5.764052064573667e-05,0.0021887550862273665,0.0005454364033310899
10,0.03807783126831055,0.0006483078002929687,0.6271536871123363,0.6266372650647174,0.1,"(100,)",12,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'ica__n_components': 12}",97,0.6267123287671232,0.6272648835202761,0.6254295532646048,0.628448275862069,0.6275862068965518,0.627906976744186,0.6241379310344828,0.6227390180878553,0.6319444444444444,0.6268271711092004,0.005295125125261382,1.6249865976039405e-05,0.002654417487376514,0.002025745619825302
