,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.24470200538635253,0.003711700439453125,0.8646084667690282,0.8648003929636481,0.1,"(100,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'pca__n_components': 2}",28,0.8645833333333334,0.8646147518508362,0.8645833333333334,0.8646147518508362,0.8650945982999726,0.8645554870107616,0.8639978064162325,0.8656522037151279,0.8647833241908941,0.8645647703906786,0.08464791951597572,0.0002386198148238745,0.00035805732452582294,0.0004266154531942282
1,0.28929910659790037,0.004229497909545898,0.8650471594647949,0.8652527810887094,0.1,"(100,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'pca__n_components': 3}",2,0.8645833333333334,0.8646147518508362,0.8643092105263158,0.8653687962709076,0.8645462023581025,0.8646240318047844,0.8648204003290376,0.8657892933031737,0.8669775095995612,0.8658670322138451,0.09693258239897688,0.00016554275347076632,0.000978494428647175,0.0005442455868295956
2,0.21256380081176757,0.004635429382324219,0.8646084667690282,0.8646084675403841,0.1,"(100,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'pca__n_components': 4}",28,0.8645833333333334,0.8646147518508362,0.8645833333333334,0.8646147518508362,0.8645462023581025,0.8646240318047844,0.8645462023581025,0.8646240318047844,0.8647833241908941,0.8645647703906786,0.017472367927301658,0.00030547278822753087,8.89741569409847e-05,2.22392385694769e-05
3,0.20983366966247557,0.004419374465942383,0.864389120421145,0.8646358873374776,0.1,"(100,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'pca__n_components': 5}",50,0.8645833333333334,0.8646147518508362,0.8634868421052632,0.8647518508363038,0.8645462023581025,0.8646240318047844,0.8645462023581025,0.8646240318047844,0.8647833241908941,0.8645647703906786,0.03847591369775874,0.0001991495077927622,0.0004597181541942689,6.202091467960039e-05
4,0.1823434829711914,0.005186939239501953,0.8646084667690282,0.8645810496227749,0.1,"(100,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'pca__n_components': 6}",28,0.8645833333333334,0.8646147518508362,0.8645833333333334,0.8646147518508362,0.8645462023581025,0.8646240318047844,0.8645462023581025,0.8644869422167386,0.8647833241908941,0.8645647703906786,0.016194569697215697,0.0005295712261152896,8.89741569409847e-05,5.145943177187908e-05
5,0.23124899864196777,0.004766273498535156,0.8639504277253783,0.864416531779956,0.1,"(100,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'pca__n_components': 7}",65,0.8645833333333334,0.8646147518508362,0.8626644736842105,0.863860707430765,0.8645462023581025,0.8646240318047844,0.8631752125034274,0.8644183974227158,0.8647833241908941,0.8645647703906786,0.063798137455431,0.0004560698125021511,0.0008607020166036003,0.00028749481048846395
6,0.1330660343170166,0.002371549606323242,0.8646084667690282,0.8646084675403841,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 2}",28,0.8645833333333334,0.8646147518508362,0.8645833333333334,0.8646147518508362,0.8645462023581025,0.8646240318047844,0.8645462023581025,0.8646240318047844,0.8647833241908941,0.8645647703906786,0.0019143728056410505,0.00021018130575962878,8.89741569409847e-05,2.22392385694769e-05
7,0.17750239372253418,0.00215764045715332,0.8651568326387366,0.864718131693914,0.1,"(50,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 3}",1,0.8645833333333334,0.8646147518508362,0.8645833333333334,0.8646147518508362,0.8645462023581025,0.8646240318047844,0.8645462023581025,0.8646240318047844,0.8675260559517279,0.8651130911583276,0.05884765848914918,0.0001827141061266963,0.0011844844639679255,0.00019752333568862998
8,0.2441850185394287,0.0023265361785888674,0.8632923886817284,0.8645947614004195,0.1,"(50,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 4}",66,0.8645833333333334,0.8646147518508362,0.8640350877192983,0.8646147518508362,0.8634494104743625,0.8640071286585784,0.8590622429394023,0.8653780245390362,0.8653318705430609,0.8643591501028102,0.08103261457087024,0.0003095521795826015,0.0022042935578000973,0.00045058302306595307
9,0.16023192405700684,0.002587127685546875,0.8643342838341742,0.8645673378447439,0.1,"(50,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 5}",54,0.8645833333333334,0.8646147518508362,0.8632127192982456,0.864409103372635,0.8645462023581025,0.8646240318047844,0.8645462023581025,0.8646240318047844,0.8647833241908941,0.8645647703906786,0.027291929773920306,0.00044876186935152447,0.0005677335782339935,8.21233683769005e-05
10,0.13141732215881347,0.002739429473876953,0.8646084667690282,0.8646084675403841,0.1,"(50,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 6}",28,0.8645833333333334,0.8646147518508362,0.8645833333333334,0.8646147518508362,0.8645462023581025,0.8646240318047844,0.8645462023581025,0.8646240318047844,0.8647833241908941,0.8645647703906786,0.000731065846484998,0.00019599184757320315,8.89741569409847e-05,2.22392385694769e-05
