,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
17,0.0511411190032959,0.0007194995880126954,0.6822880771881461,0.682638990688009,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 7}",31,0.6643835616438356,0.6850733390854185,0.6838487972508591,0.7043103448275863,0.6896551724137931,0.7088716623600344,0.6655172413793103,0.6373815676141258,0.7083333333333334,0.6775580395528805,0.014880244696924894,0.00011316375548921577,0.01633106962079644,0.025447110300154892
18,0.05638275146484375,0.000580596923828125,0.7002067539627843,0.695717063314804,0.01,"(100,)",2,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100,), 'pca__n_components': 2}",6,0.6575342465753424,0.6729939603106126,0.6907216494845361,0.696551724137931,0.7206896551724138,0.7011197243755384,0.7103448275862069,0.7054263565891473,0.7222222222222222,0.702493551160791,0.009439287302201936,6.406523275334559e-05,0.02418854691765491,0.01171679118854601
19,0.055915546417236325,0.0006236076354980469,0.7050310130944176,0.7045181860383565,0.01,"(100,)",3,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100,), 'pca__n_components': 3}",1,0.708904109589041,0.7014667817083693,0.6872852233676976,0.7112068965517241,0.6931034482758621,0.7080103359173127,0.7034482758620689,0.7088716623600344,0.7326388888888888,0.6930352536543423,0.005356766093041799,5.9954114666134046e-05,0.015696902944818326,0.006588710339862352
20,0.04198060035705566,0.0005975723266601563,0.6974500344589938,0.6962487099216951,0.01,"(100,)",4,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100,), 'pca__n_components': 4}",10,0.6952054794520548,0.7023295944779983,0.6769759450171822,0.7051724137931035,0.7103448275862069,0.6821705426356589,0.7068965517241379,0.6985357450473729,0.6979166666666666,0.6930352536543423,0.004409097089903383,2.3589033489424786e-05,0.011670180619158711,0.008128484148395298
21,0.07702012062072754,0.0006108760833740234,0.6753962784286699,0.6938709206850231,0.01,"(100,)",5,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100,), 'pca__n_components': 5}",38,0.708904109589041,0.7049180327868853,0.6666666666666666,0.7094827586206897,0.7,0.7286821705426356,0.7413793103448276,0.726959517657192,0.5590277777777778,0.5993121238177128,0.026123577284542576,2.275237881691987e-05,0.06261119731573411,0.04819504663500104
22,0.05693669319152832,0.0006671428680419921,0.6760854583046175,0.6803786352205474,0.01,"(100,)",6,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100,), 'pca__n_components': 6}",34,0.684931506849315,0.6781708369283865,0.6391752577319587,0.6741379310344827,0.6586206896551724,0.6666666666666666,0.6931034482758621,0.6666666666666666,0.7048611111111112,0.7162510748065348,0.017186895105265252,7.571093004055614e-05,0.02392002373980518,0.018475328668970312
23,0.05140419006347656,0.0006760597229003906,0.6609235010337698,0.664712355867748,0.01,"(100,)",7,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100,), 'pca__n_components': 7}",53,0.6267123287671232,0.6298533218291631,0.6460481099656358,0.6629310344827586,0.6931034482758621,0.7019810508182601,0.7137931034482758,0.6950904392764858,0.625,0.6337059329320722,0.015389968471167777,7.972178258424576e-05,0.03607871843674674,0.02997167729089716
24,0.026188182830810546,0.0004829883575439453,0.6188835286009648,0.6154388335291247,0.01,"(50,)",2,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 2}",69,0.6267123287671232,0.6281276962899051,0.6185567010309279,0.6198275862068966,0.5896551724137931,0.5745047372954349,0.6275862068965518,0.627906976744186,0.6319444444444444,0.6268271711092004,0.0023013582800279777,3.75360201965865e-05,0.01523459312803418,0.02069307831506268
25,0.055910587310791016,0.0004786014556884766,0.6871123363197794,0.6833234525467534,0.01,"(50,)",3,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 3}",21,0.6746575342465754,0.6893874029335634,0.6426116838487973,0.6758620689655173,0.6827586206896552,0.6890611541774333,0.7206896551724138,0.6813092161929372,0.7152777777777778,0.6809974204643164,0.004551868385731914,2.2565332951412448e-05,0.028547261709827465,0.005192928510586311
26,0.04839797019958496,0.0005054950714111328,0.6416264645072364,0.6511065647349227,0.01,"(50,)",4,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 4}",65,0.6643835616438356,0.6833477135461605,0.6254295532646048,0.646551724137931,0.6275862068965518,0.6261843238587425,0.6310344827586207,0.6296296296296297,0.6597222222222222,0.6698194325021496,0.013418040564755809,2.758633809130837e-05,0.016841856129369375,0.022328396724410927
