,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.2487330913543701,0.0038956642150878907,0.8646084667690282,0.8648003929636481,0.1,"(100,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'pca__n_components': 2}",28,0.8645833333333334,0.8646147518508362,0.8645833333333334,0.8646147518508362,0.8650945982999726,0.8645554870107616,0.8639978064162325,0.8656522037151279,0.8647833241908941,0.8645647703906786,0.09511755214113309,0.0003564828535394229,0.00035805732452582294,0.0004266154531942282
1,0.27797613143920896,0.0042706489562988285,0.8650471594647949,0.8652527810887094,0.1,"(100,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'pca__n_components': 3}",2,0.8645833333333334,0.8646147518508362,0.8643092105263158,0.8653687962709076,0.8645462023581025,0.8646240318047844,0.8648204003290376,0.8657892933031737,0.8669775095995612,0.8658670322138451,0.09646656592758546,0.00026245130182695495,0.000978494428647175,0.0005442455868295956
2,0.20523476600646973,0.004363203048706054,0.8646084667690282,0.8646084675403841,0.1,"(100,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'pca__n_components': 4}",28,0.8645833333333334,0.8646147518508362,0.8645833333333334,0.8646147518508362,0.8645462023581025,0.8646240318047844,0.8645462023581025,0.8646240318047844,0.8647833241908941,0.8645647703906786,0.018931882291296102,0.00020694768923187136,8.89741569409847e-05,2.22392385694769e-05
3,0.210404634475708,0.0042188167572021484,0.864389120421145,0.8646358873374776,0.1,"(100,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'pca__n_components': 5}",50,0.8645833333333334,0.8646147518508362,0.8634868421052632,0.8647518508363038,0.8645462023581025,0.8646240318047844,0.8645462023581025,0.8646240318047844,0.8647833241908941,0.8645647703906786,0.031147812685999768,0.00014247763427582824,0.0004597181541942689,6.202091467960039e-05
4,0.18770875930786132,0.004476070404052734,0.8646084667690282,0.8645810496227749,0.1,"(100,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'pca__n_components': 6}",28,0.8645833333333334,0.8646147518508362,0.8645833333333334,0.8646147518508362,0.8645462023581025,0.8646240318047844,0.8645462023581025,0.8644869422167386,0.8647833241908941,0.8645647703906786,0.016614075812434008,0.0004663766030343784,8.89741569409847e-05,5.145943177187908e-05
5,0.2241593837738037,0.004412841796875,0.8639504277253783,0.864416531779956,0.1,"(100,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'pca__n_components': 7}",65,0.8645833333333334,0.8646147518508362,0.8626644736842105,0.863860707430765,0.8645462023581025,0.8646240318047844,0.8631752125034274,0.8644183974227158,0.8647833241908941,0.8645647703906786,0.06249580009076783,0.00037733662433048345,0.0008607020166036003,0.00028749481048846395
6,0.129160737991333,0.0023472785949707033,0.8646084667690282,0.8646084675403841,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 2}",28,0.8645833333333334,0.8646147518508362,0.8645833333333334,0.8646147518508362,0.8645462023581025,0.8646240318047844,0.8645462023581025,0.8646240318047844,0.8647833241908941,0.8645647703906786,0.003486329312318687,0.00011615320567201044,8.89741569409847e-05,2.22392385694769e-05
7,0.16717538833618165,0.0021952152252197265,0.8651568326387366,0.864718131693914,0.1,"(50,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 3}",1,0.8645833333333334,0.8646147518508362,0.8645833333333334,0.8646147518508362,0.8645462023581025,0.8646240318047844,0.8645462023581025,0.8646240318047844,0.8675260559517279,0.8651130911583276,0.05563607722904428,0.0001688618736448005,0.0011844844639679255,0.00019752333568862998
8,0.23459062576293946,0.0023358821868896484,0.8632923886817284,0.8645947614004195,0.1,"(50,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 4}",66,0.8645833333333334,0.8646147518508362,0.8640350877192983,0.8646147518508362,0.8634494104743625,0.8640071286585784,0.8590622429394023,0.8653780245390362,0.8653318705430609,0.8643591501028102,0.0845343335814025,0.00015671633153279424,0.0022042935578000973,0.00045058302306595307
9,0.1542142391204834,0.002495861053466797,0.8643342838341742,0.8645673378447439,0.1,"(50,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 5}",54,0.8645833333333334,0.8646147518508362,0.8632127192982456,0.864409103372635,0.8645462023581025,0.8646240318047844,0.8645462023581025,0.8646240318047844,0.8647833241908941,0.8645647703906786,0.023886015390794046,0.0002283806877497788,0.0005677335782339935,8.21233683769005e-05
10,0.1247642993927002,0.002712535858154297,0.8646084667690282,0.8646084675403841,0.1,"(50,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 6}",28,0.8645833333333334,0.8646147518508362,0.8645833333333334,0.8646147518508362,0.8645462023581025,0.8646240318047844,0.8645462023581025,0.8646240318047844,0.8647833241908941,0.8645647703906786,0.0014886713011993192,0.00022385208633716978,8.89741569409847e-05,2.22392385694769e-05
