,housing log-likelihood,perm log-likelihood
2,1.4812131644156499,-0.883294615325887
5,7.609360297528683,2.5464714531408017
10,14.384793251940454,3.4808246921260153
15,15.786063439589409,5.136215837268432
20,16.595147120754422,6.2587504486309715
25,18.08486244789352,7.393341945558406
30,19.324144674517488,7.785984506503111
35,19.219049978307908,6.9013198795929185
40,19.94556332217561,7.032090273585897
50,21.01330127032133,7.808093925621151
